,Hitter,SLG,OPS,BB%,K%,RBI%,wOBA,PA/HR
72,Kris Bryant,0.301,0.6167017543859649,0.08771929824561403,0.3157894736842105,0.14444444444444443,0.2733976608187134,85.5
73,Jake Meyers,0.259,0.512,0.06435643564356436,0.24752475247524752,0.15,0.229235,101.0
74,Chas McCormick,0.32,0.583890410958904,0.060810810810810814,0.25675675675675674,0.12345679012345678,0.2670068493150685,37.0
75,Jordan Beck,0.271,0.5047692307692307,0.06666666666666667,0.35384615384615387,0.11235955056179775,0.22493298969072165,65.0
76,Jake Bauers,0.301,0.5783850931677018,0.12422360248447205,0.38509316770186336,0.09302325581395349,0.27725465838509317,26.833333333333332
77,Ty France,0.389,0.6739285714285714,0.049107142857142856,0.15625,0.15454545454545454,0.2846919642857143,44.8
78,Gary Sanchez,0.353,0.6544432432432432,0.10270270270270271,0.3081081081081081,0.20430107526881722,0.2793135135135135,37.0
79,Randal Grichuk,0.603,0.9468910256410256,0.07692307692307693,0.20512820512820512,0.1836734693877551,0.39744871794871794,15.6
80,Joey Ortiz,0.396,0.6878302752293577,0.06818181818181818,0.2318181818181818,0.21052631578947367,0.286243119266055,55.0
81,Alek Thomas,0.358,0.5926034482758621,0.06837606837606838,0.1623931623931624,0.24358974358974358,0.2811551724137931,39.0
82,Jake McCarthy,0.4,0.7199628099173554,0.036885245901639344,0.13934426229508196,0.2542372881355932,0.30279752066115695,48.8
83,Connor Wong,0.4060000000000001,0.694930735930736,0.05603448275862069,0.2672413793103448,0.125,0.2850826086956521,46.4
84,Jose Miranda,0.385,0.683,0.024154589371980676,0.18357487922705315,0.1326530612244898,0.2818502415458937,207.0
85,Jake Fraley,0.428,0.759,0.06030150753768844,0.18090452261306533,0.15730337078651685,0.30912562814070355,49.75
86,Ramon Laureano,0.514,0.854,0.04060913705583756,0.28426395939086296,0.1702127659574468,0.3599593908629442,21.88888888888889
87,Eric Haase,0.515,0.819,0.04054054054054054,0.3918918918918919,0.16363636363636364,0.36604054054054047,12.333333333333334
88,Mickey Moniak,0.465,0.754,0.0392156862745098,0.25980392156862747,0.19101123595505617,0.3339705882352941,18.545454545454547
89,Ramon Urias,0.46900000000000003,0.8149947643979056,0.10471204188481675,0.193717277486911,0.26373626373626374,0.3685863874345549,27.285714285714285
